no	standard	link	no	adoption	note	extract
1	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1	yes	`work` must be replicable	`null`
2	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 2	yes	`v-1.5` must be human-readable	`null`
3	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 3	yes	`v-1.5` must be machine-readable	`null`
4	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.1	yes	`work-files` must cite sources	`null`
5	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.2	yes	`work-files` must be archived	`null`
6	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.3	yes	`work` must be logged	`null`
7	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.4	yes	`work` must be registered	`null`
8	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.5	yes	`pre-git-files` and `work-files` must be licensed	`null`
9	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.6	yes	`work-files` must be citeable	`null`
10	AN `process-0.md`	https://github.com/aenavidad/historical-series-re-Belize/tree/main/work/aug-22	no 1.7	yes	`v-1.5` must inc metadata	`null`
11	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 1 lvl iii	yes	`work-files` must *appropriately* cite sources	Article is not published until providing appropriate citation for data and materials
12	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 2 lvl ii	yes	`work-files` must be archived *in trusted repository*	Data must be posted to a trusted repository. Exceptions must be identified at article submission
13	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 3 lvl ii	yes	as no 2 lvl ii	Code must be posted to a trusted repository. Exceptions must be identified at article submission
14	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 4 lvl ii	yes	as no 2 lvl ii	Materials must be posted to a trusted repository. Exceptions must be identified at article submission
15	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 5 lvl iii	yes	`pre-print` must inc design and log details of `work`	Journal requires and enforces adherence to design transparency standards for review and publication
16	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 6 lvl i	no	may not be possible as study started oct 2020	"Article states whether preregistration of study exists, and, if so, where to access it"
17	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 7 lvl i	yes	`work` must be registered	"Article states whether preregistration of study exists, and, if so, where to access it"
18	COS TOP Guidelines	https://www.cos.io/initiatives/top-guidelines	no 8 lvl i	no	may not be possible as requires third-party	Journal encourages submission of replication studies
19	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 2	no	re URIs but language is too vague	global naming leads to global network effects
20	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.1	yes	`work-files` must identify resources via URIs	agents should provide URIs as identifiers for resources
21	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	constraint 2.2	yes	as practice 2.1 adding *distinct resources via distinct URIs*	assign distinct URIs to distinct resources
22	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.3.1	yes	as practice 2.1 adding *in one-to-one mapping*	a URI owner SHOULD NOT associate arbitrarily different URIs with the same resource
23	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.3.1	no	may not be possible (eg given journal-imposed citation styles)	"an agent that receives a URI SHOULD refer to the associated resource using the same URI, character-by-character"
24	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.4	yes	as practice 2.1 adding *URI conforming to existing scheme eg https*	a specification SHOULD reuse an existing URI scheme (rather than create a new one) when it provides the desired properties of identifiers and their relation to resources
25	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 2.5	no	not relevant	agents making use of URIs SHOULD NOT attempt to infer properties of the referenced resource
26	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.2	no	not relevant	new protocols created for the Web SHOULD transmit representations as octet streams typed by Internet media types
27	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	contraint 3.3	no	not relevant	agents MUST NOT ignore message metadata without the consent of the user
28	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.3	no	not relevant	server managers SHOULD allow representation creators to control the metadata associated with their representations
29	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 3.4	no	not relevant	agents do not incur obligations by retrieving a representation
30	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.5	no	not relevant	a URI owner SHOULD provide representations of the resource it identifies
31	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 3.5	no	not relevant	an application developer or specification author SHOULD NOT require networked retrieval of representations each time they are referenced
32	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 3.5.1	no	may not be possible (eg copyrighted material)	a URI owner SHOULD provide representations of the identified resource consistently and predictably
33	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.1	no	not relevant	a data format specification SHOULD provide for version information
34	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.7	no	xml-specific	"in general, a representation provider SHOULD NOT assign Internet media types beginning with ""text/"" to XML representations"
35	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.7	no	xml-specific	"in general, a representation provider SHOULD NOT specify the character encoding for XML data in protocol headers since the data is self-describing"
36	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.5	no	xml-specific	a specification in which QNames serve as resource identifiers MUST provide a mapping to URIs
37	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	constraint 4.5.5	no	xml-specific	do not allow both QNames and URIs in attribute values or element content where they are indistinguishable
38	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.4	no	xml-specific	the owner of an XML namespace name SHOULD make available material intended for people to read and material optimized for software agents in order to meet the needs of those who will use the namespace vocabulary
39	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.5.3	no	xml-specific	a specification that establishes an XML vocabulary SHOULD place all element names and global attribute names in a namespace
40	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.4	no	not relevant	"a specification SHOULD provide ways to identify links to other resources, including to secondary resources (via fragment identifiers)"
41	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.4	no	not relevant	"a specification SHOULD allow Web-wide linking, not just internal document linking"
42	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.4	no	not relevant	a specification SHOULD allow content authors to use URIs without constraining them to a limited set of URI schemes
43	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.4	no	not relevant	a data format SHOULD incorporate hypertext links if hypertext is the expected user interface paradigm
44	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.3	no	not relevant	a specification SHOULD allow authors to separate content from both presentation and interaction concerns
45	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.3	no	not relevant	a specification SHOULD provide mechanisms that allow any party to create extensions
46	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.3	no	not relevant	extensibility MUST NOT interfere with conformance to the original specification
47	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.3	no	not relevant	a specification SHOULD specify agent behavior in the face of unrecognized extensions
48	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	practice 4.2.2	no	xml-specific	an XML format specification SHOULD include information about change policies for XML namespaces
49	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 5.1	no	language too vague	orthogonal abstractions benefit from orthogonal specifications
50	W3C Architecture of the WWW Vol I	http://www.w3.org/TR/webarch/	principle 5.3	no	language too vague or not relevant	agents that recover from error by making a choice without the user's consent are not acting on the user's behalf
51	Springer Nature Data Policies	https://www.springernature.com/gp/authors/research-data-policy/	data type 3	yes	`pre-git-files` and `work-files` must be licensed and must be archived and must be citeable 	data sharing encouraged and statements of data availability required
52	Springer Nature Data Policies	https://www.springernature.com/gp/authors/research-data-policy/	data type 4	no	may not be possible as requires third-party	"data sharing, evidence of data sharing and peer review of data required"
53	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 1	yes	`v-1.5` must inc metadata	Provide metadata
54	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 2	yes	as best practice 1 adding *descriptive metadata*	Provide descriptive metadata
55	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 3	yes	as best practice 1 adding *structural metadata*[^ie provide data dictionary ie code-book describing properties and datatypes and further use vocabularies and languagues for metadata]	Provide structural metadata
56	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 4	yes	`v-1.5` must be licensed	Provide data license information
57	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 5	yes	"`v-1.5` must inc provenance info[^ie sources of raw data and transformations thereof eg cleaning, standardising, validating, processing, etc]"	Provide data provenance information
58	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 6	yes	`v-1.5` must inc data quality info	Provide data quality information
59	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 7	yes	`v-1.5` must inc version indicator	Provide a version indicator
60	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 8	no	may not be possible as pre-`v-1.4` data not properly documented	Provide version history
61	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 9	yes	`v-1.5` must cite sources via URIs	Use persistent URIs as identifiers of datasets
62	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 10	yes	`v-1.5` and its sub-components must be citeable via URIs	Use persistent URIs as identifiers within datasets
63	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 11	yes	`v-1.5` and predecessors must be citeable as a whole via URIs	Assign URIs to dataset versions and series
64	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 12	yes	`v-1.5` must be machine-readable	Use machine-readable standardized data formats
65	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 13	yes	`v-1.5` must use location-neutral data values or types (when possible eg excluding text quotes)	Use locale-neutral data representations
66	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 14	yes	`v-1.5` must be available in vars formats	Provide data in multiple formats
67	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 15	yes	`v-1.5` must re-use standardised vocabularies	"Reuse vocabularies, preferably standardized ones"
68	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 16	yes	as best practice 15 adding *to an appropriate extent*	Choose the right formalization level
69	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 17	no	may not be possible as requires third-party	Provide bulk download
70	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 18	no	may not be possible as requires third-party	Provide Subsets for Large Datasets
71	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 19	no	may not be possible as requires third-party	Use content negotiation for serving data available in multiple formats
72	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 20	no	not relevant	Provide real-time access
73	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 21	no	not relevant	Provide data up to date
74	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 22	yes	`v-1.5` must inc information re missing values	Provide an explanation for data that is not available
75	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 23	no	may not be possible as requires third-party	Make data available through an API
76	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 24	no	may not be possible as requires third-party	Use Web Standards as the foundation of APIs
77	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 25	no	may not be possible as requires third-party	Provide complete documentation for your API
78	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 26	no	may not be possible as requires third-party	Avoid Breaking Changes to Your API
79	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 27	no	may not be possible as requires third-party	Preserve identifiers
80	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 28	yes	`v-1.5` must inc coverage info	Assess dataset coverage
81	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 29	no	not relevant	Gather feedback from data consumers
82	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 30	no	not relevant	Make feedback available
83	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 31	yes	`v-1.5` must inc generated data (if enriching)[^may not be needed]	Enrich data by generating new data
84	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 32	no	may not be possible as requires third-party	Provide Complementary Presentations
85	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 33	no	not relevant	Provide Feedback to the Original Publisher
86	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 34	yes	`v-1.5` must obey licences of sources employed in `work`	Follow Licensing Terms
87	W3C Data on the Web Best Practices	https://www.w3.org/TR/dwbp/	best practice 35	yes	`v-1.5` must cite sources	Cite the Original Publication
88	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 1	no	not relevant	Prepare stakeholders by explaining the process of creating and maintaining Linked Open Data
89	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 2	no	not relevant	Select a dataset that provides benefit to others for reuse
90	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 3	yes	`v-1.5` must be available in vars formats	Modeling Linked Data involves representing data objects and how they are related in an application-independent way
91	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 4	yes	`v-1.5` must be *appropriately* licensed	"Specify an appropriate open data license. Data reuse is more likely to occur when there is a clear statement about the origin, ownership and terms related to the use of the published data"
92	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 5	yes	URIs for `v-1.5` or its sub-components must be *appropriately* built	"The core of Linked Data is a well-considered URI naming strategy and implementation plan, based on HTTP URIs. Consideration for naming objects, multilingual support, data change over time and persistence strategy are the building blocks for useful Linked Data"
93	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 6	yes	`v-1.5` must re-use standardised vocabularies	"Describe objects with previously defined vocabularies whenever possible. Extend standard vocabularies where necessary, and create vocabularies (only when required) that follow best practices whenever possible"
94	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 7	yes	`v-1.5` must be available in `rdf` formats	Convert data to a Linked Data representation. This is typically done by script or other automated processes
95	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 8	no	may not be possible as requires third-party	Provide various ways for search engines and other automated processes to access data using standard Web mechanisms
96	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 9	no	not relevant	"Remember to announce new data sets on an authoritative domain. Importantly, remember that as a Linked Open Data publisher, an implicit social contract is in effect"
97	W3C Best Practices for Publishing Linked Data	http://www.w3.org/TR/ld-bp/	step 10	no	not relevant	Recognize your responsibility in maintaining data once it is published. Ensure that the dataset(s) remain available where your organization says it will be and is maintained over time
98	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim object	yes	`v-1.5` must be citeable via URI	The artifact that a provenance statement is about
99	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim attribution	yes	`v-1.5` must identify sources used and entities involved in `work`	The sources or entities that contributed to create the artifact in question
100	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim process	yes	`v-1.5` must inc log details of `work`	The activities (or steps) that were carried out to generate or access the artifact at hand
101	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim versioning	no	may not be possible as pre-`v-1.4` data not properly documented	Records of changes to an artifact over time and what entities and processes were associated with those changes
102	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim justification	yes	as cat content dim process adding *inc reasoning or justification for decisions made during `work`*	Documentation recording why and how a particular decision is made
103	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat content dim entailment	no	not relevant	Explanations showing how facts were derived from other facts
104	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat management dim publication	no	may not be possible as requires third-party	Making provenance available on the Web
105	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat management dim access	no	may not be possible as requires third-party	The ability to find the provenance for a particular artifact
106	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat management dim dissemination	no	may not be possible as requires third-party	Defining how provenance should be distributed and its access be controlled
107	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat management dim scale	no	not relevant	Dealing with large amounts of provenance
108	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim understanding	no	not relevant	How to enable the end user consumption of provenance
109	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim interoperability	no	not relevant	Combining provenance produced by multiple different systems
110	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim comparison	no	not relevant	Comparing artifacts through their provenance
111	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim accountability	no	not relevant	Using provenance to assign credit or blame
112	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim trust	no	not relevant	Using provenance to make trust judgments
113	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim imperfections	no	not relevant	Dealing with imperfections in provenance records
114	W3C Provenance XG Final Report	http://www.w3.org/2005/Incubator/prov/XGR-prov/	cat use dim debugging	no	not relevant	Using provenance to detect bugs or failures of processes
115	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-resource/	resource sec descriptor	no	json-specific	A Data Resource descriptor MUST be a valid JSON object
116	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-resource/	resource sec data location	yes	`v-1.5` and sub-components must be geo-referenced	A resource MUST contain a property describing the location of the data associated to the resource
117	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-resource/	resource sec metadata	yes	`v-1.5` and sub-components must inc metadata	A descriptor MUST contain a name property
118	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-package/	package sec descriptor	no	json-specific	A Data Package descriptor MUST be a valid JSON object
119	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-package/	package sec descriptor	yes	as package sec metadata adding *inc list and locations of sub-components of `v-1.5`*	The descriptor MUST contain a resources property describing the data resources
120	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-package/	package sec resource information	no	json-specific	Packaged data resources are described in the resources property of the package descriptor. This property MUST be an array of objects. Each object MUST follow the Data Resource specification.
121	OKF Frictionless Standards	https://specs.frictionlessdata.io/data-package/	package sec metadata	yes	`v-1.5` must inc metadata	"The resources property is required, with at least one resource"
122	OKF Open Definition	https://opendefinition.org/od/2.1/en/	no 1.1	no	may not be possible (eg copyrighted material)	"The work must be in the public domain or provided under an open license (as defined in Section 2). Any additional terms accompanying the work (such as a terms of use, or patents held by the licensor) must not contradict the workâ€™s public domain status or terms of the license."
123	OKF Open Definition	https://opendefinition.org/od/2.1/en/	no 1.2	yes	`v-1.5` must be provided as a whole	"The work must be provided as a whole and at no more than a reasonable one-time reproduction cost, and should be downloadable via the Internet without charge. Any additional information necessary for license compliance (such as names of contributors required for compliance with attribution requirements) must also accompany the work."
124	OKF Open Definition	https://opendefinition.org/od/2.1/en/	no 1.3	yes	`v-1.5` must be machine-readable	The work must be provided in a form readily processable by a computer and where the individual elements of the work can be easily accessed and modified.
125	OKF Open Definition	https://opendefinition.org/od/2.1/en/	no 1.4	yes	`v-1.5` must be available in open formats	"The work must be provided in an open format. An open format is one which places no restrictions, monetary or otherwise, upon its use and can be fully processed with at least one free/libre/open-source software tool."
126	OKF Open Definition	https://opendefinition.org/od/2.1/en/	no 2.1.1	no	not relevant	`null`
